stress_ratio,cycles_to_failure,stress
0.1000000,1.000000,613.8195
0.1000000,51.00000,406.6242
0.1000000,101.0000,378.5403
0.1000000,151.0000,362.9268
0.1000000,201.0000,352.2156
0.1000000,251.0000,344.1151
0.1000000,301.0000,337.6298
0.1000000,351.0000,332.2389
0.1000000,401.0000,327.6368
0.1000000,451.0000,323.6292
0.1000000,501.0000,320.0849
0.1000000,551.0000,316.9116
0.1000000,601.0000,314.0415
0.1000000,651.0000,311.4239
0.1000000,701.0000,309.0196
0.1000000,751.0000,306.7977
0.1000000,801.0000,304.7335
0.1000000,851.0000,302.8070
0.1000000,901.0000,301.0016
0.1000000,951.0000,299.3037
0.1000000,1000.000,297.7329
0.1000000,10000.00,233.9316
0.1000000,20000.00,217.5503
0.1000000,30000.00,208.5049
0.1000000,40000.00,202.3161
0.1000000,50000.00,197.6424
0.1000000,60000.00,193.9041
0.1000000,70000.00,190.7986
0.1000000,80000.00,188.1487
0.1000000,90000.00,185.8418
0.1000000,100000.0,183.8023
0.1000000,110000.0,181.9766
0.1000000,120000.0,180.3257
0.1000000,130000.0,178.8203
0.1000000,140000.0,177.4377
0.1000000,150000.0,176.1601
0.1000000,160000.0,174.9733
0.1000000,170000.0,173.8658
0.1000000,180000.0,172.8281
0.1000000,190000.0,171.8521
0.1000000,200000.0,170.9313
0.1000000,210000.0,170.0601
0.1000000,220000.0,169.2335
0.1000000,230000.0,168.4474
0.1000000,240000.0,167.6982
0.1000000,250000.0,166.9827
0.1000000,260000.0,166.2982
0.1000000,270000.0,165.6421
0.1000000,280000.0,165.0124
0.1000000,290000.0,164.4070
0.1000000,300000.0,163.8243
0.1000000,310000.0,163.2626
0.1000000,320000.0,162.7206
0.1000000,330000.0,162.1970
0.1000000,340000.0,161.6907
0.1000000,350000.0,161.2005
0.1000000,360000.0,160.7256
0.1000000,370000.0,160.2650
0.1000000,380000.0,159.8180
0.1000000,390000.0,159.3838
0.1000000,400000.0,158.9617
0.1000000,410000.0,158.5511
0.1000000,420000.0,158.1514
0.1000000,430000.0,157.7621
0.1000000,440000.0,157.3827
0.1000000,450000.0,157.0127
0.1000000,460000.0,156.6517
0.1000000,470000.0,156.2992
0.1000000,480000.0,155.9550
0.1000000,490000.0,155.6185
0.1000000,500000.0,155.2896
0.1000000,510000.0,154.9678
0.1000000,520000.0,154.6530
0.1000000,530000.0,154.3447
0.1000000,540000.0,154.0428
0.1000000,550000.0,153.7471
0.1000000,560000.0,153.4572
0.1000000,570000.0,153.1730
0.1000000,580000.0,152.8942
0.1000000,590000.0,152.6207
0.1000000,600000.0,152.3523
0.1000000,610000.0,152.0888
0.1000000,620000.0,151.8300
0.1000000,630000.0,151.5757
0.1000000,640000.0,151.3259
0.1000000,650000.0,151.0804
0.1000000,660000.0,150.8390
0.1000000,670000.0,150.6016
0.1000000,680000.0,150.3681
0.1000000,690000.0,150.1384
0.1000000,700000.0,149.9123
0.1000000,710000.0,149.6897
0.1000000,720000.0,149.4706
0.1000000,730000.0,149.2548
0.1000000,740000.0,149.0423
0.1000000,750000.0,148.8329
0.1000000,760000.0,148.6265
0.1000000,770000.0,148.4232
0.1000000,780000.0,148.2227
0.1000000,790000.0,148.0251
0.1000000,800000.0,147.8302
0.1000000,810000.0,147.6380
0.1000000,820000.0,147.4484
0.1000000,830000.0,147.2613
0.1000000,840000.0,147.0767
0.1000000,850000.0,146.8945
0.1000000,860000.0,146.7147
0.1000000,870000.0,146.5371
0.1000000,880000.0,146.3618
0.1000000,890000.0,146.1887
0.1000000,900000.0,146.0177
0.1000000,910000.0,145.8488
0.1000000,920000.0,145.6820
0.1000000,930000.0,145.5171
0.1000000,940000.0,145.3542
0.1000000,950000.0,145.1932
0.1000000,960000.0,145.0340
0.1000000,970000.0,144.8767
0.1000000,980000.0,144.7211
0.1000000,990000.0,144.5673
0.1000000,1000000.,144.4152
0.1000000,1010000.,144.2648
0.1000000,1020000.,144.1160
0.1000000,1030000.,143.9688
0.1000000,1040000.,143.8232
0.1000000,1050000.,143.6791
0.1000000,1060000.,143.5366
0.1000000,1070000.,143.3955
0.1000000,1080000.,143.2558
0.1000000,1090000.,143.1176
0.1000000,1100000.,142.9808
0.1000000,1110000.,142.8453
0.1000000,1120000.,142.7112
0.1000000,1130000.,142.5784
0.1000000,1140000.,142.4469
0.1000000,1150000.,142.3166
0.1000000,1160000.,142.1876
0.1000000,1170000.,142.0599
0.1000000,1180000.,141.9333
0.1000000,1190000.,141.8079
0.1000000,1200000.,141.6837
0.1000000,1210000.,141.5606
0.1000000,1220000.,141.4386
0.1000000,1230000.,141.3177
0.1000000,1240000.,141.1979
0.1000000,1250000.,141.0792
0.1000000,1260000.,140.9615
0.1000000,1270000.,140.8448
0.1000000,1280000.,140.7292
0.1000000,1290000.,140.6145
0.1000000,1300000.,140.5008
0.1000000,1310000.,140.3881
0.1000000,1320000.,140.2763
0.1000000,1330000.,140.1655
0.1000000,1340000.,140.0556
0.1000000,1350000.,139.9465
0.1000000,1360000.,139.8384
0.1000000,1370000.,139.7311
0.1000000,1380000.,139.6247
0.1000000,1390000.,139.5192
0.1000000,1400000.,139.4145
0.1000000,1410000.,139.3106
0.1000000,1420000.,139.2075
0.1000000,1430000.,139.1052
0.1000000,1440000.,139.0037
0.1000000,1450000.,138.9030
0.1000000,1460000.,138.8031
0.1000000,1470000.,138.7039
0.1000000,1480000.,138.6054
0.1000000,1490000.,138.5077
0.1000000,1500000.,138.4107
0.1000000,1510000.,138.3144
0.1000000,1520000.,138.2188
0.1000000,1530000.,138.1239
0.1000000,1540000.,138.0297
0.1000000,1550000.,137.9361
0.1000000,1560000.,137.8433
0.1000000,1570000.,137.7510
0.1000000,1580000.,137.6595
0.1000000,1590000.,137.5685
0.1000000,1600000.,137.4782
0.1000000,1610000.,137.3885
0.1000000,1620000.,137.2995
0.1000000,1630000.,137.2110
0.1000000,1640000.,137.1231
0.1000000,1650000.,137.0359
0.1000000,1660000.,136.9492
0.1000000,1670000.,136.8630
0.1000000,1680000.,136.7775
0.1000000,1690000.,136.6925
0.1000000,1700000.,136.6080
0.1000000,1710000.,136.5242
0.1000000,1720000.,136.4408
0.1000000,1730000.,136.3580
0.1000000,1740000.,136.2757
0.1000000,1750000.,136.1939
0.1000000,1760000.,136.1127
0.1000000,1770000.,136.0319
0.1000000,1780000.,135.9517
0.1000000,1790000.,135.8719
0.1000000,1800000.,135.7927
0.1000000,1810000.,135.7139
0.1000000,1820000.,135.6356
0.1000000,1830000.,135.5578
0.1000000,1840000.,135.4804
0.1000000,1850000.,135.4035
0.1000000,1860000.,135.3271
0.1000000,1870000.,135.2511
0.1000000,1880000.,135.1756
0.1000000,1890000.,135.1005
0.1000000,1900000.,135.0259
0.1000000,1910000.,134.9516
0.1000000,1920000.,134.8779
0.1000000,1930000.,134.8045
0.1000000,1940000.,134.7315
0.1000000,1950000.,134.6590
0.1000000,1960000.,134.5869
0.1000000,1970000.,134.5152
0.1000000,1980000.,134.4438
0.1000000,1990000.,134.3729
0.1000000,2000000.,134.3024
0.1000000,2000000.,134.3024
0.1000000,3000000.,128.7183
0.1000000,4000000.,124.8977
0.1000000,5000000.,122.0125
0.1000000,6000000.,119.7047
0.1000000,7000000.,117.7875
0.1000000,8000000.,116.1516
0.1000000,9000000.,114.7275
0.1000000,1.0000000E+07,113.4684
0.1000000,1.1000000E+07,112.3414
0.1000000,1.2000000E+07,111.3222
0.1000000,1.3000000E+07,110.3928
0.1000000,1.4000000E+07,109.5393
0.1000000,1.5000000E+07,108.7506
0.1000000,1.6000000E+07,108.0180
0.1000000,1.7000000E+07,107.3343
0.1000000,1.8000000E+07,106.6936
0.1000000,1.9000000E+07,106.0911
0.1000000,2.0000000E+07,105.5227
-1.000000,1.000000,164.3065
-1.000000,51.00000,134.1009
-1.000000,101.0000,129.4493
-1.000000,151.0000,126.7874
-1.000000,201.0000,124.9275
-1.000000,251.0000,123.5019
-1.000000,301.0000,122.3482
-1.000000,351.0000,121.3806
-1.000000,401.0000,120.5483
-1.000000,451.0000,119.8186
-1.000000,501.0000,119.1695
-1.000000,551.0000,118.5853
-1.000000,601.0000,118.0543
-1.000000,651.0000,117.5679
-1.000000,701.0000,117.1192
-1.000000,751.0000,116.7031
-1.000000,801.0000,116.3151
-1.000000,851.0000,115.9518
-1.000000,901.0000,115.6102
-1.000000,951.0000,115.2881
-1.000000,1000.000,114.9892
-1.000000,10000.00,102.0919
-1.000000,20000.00,98.50046
-1.000000,30000.00,96.45847
-1.000000,40000.00,95.03537
-1.000000,50000.00,93.94601
-1.000000,60000.00,93.06521
-1.000000,70000.00,92.32695
-1.000000,80000.00,91.69218
-1.000000,90000.00,91.13589
-1.000000,100000.0,90.64114
-1.000000,110000.0,90.19589
-1.000000,120000.0,89.79133
-1.000000,130000.0,89.42076
-1.000000,140000.0,89.07904
-1.000000,150000.0,88.76208
-1.000000,160000.0,88.46660
